grupo,codigo,ref_oem,desc_e_aplicacoes,pagina
ALAVANCA,10923,7 647 562,Alavanca do garfo de embreagem Palio Palio Weekend Siena,5
ALAVANCA,10081A,5 947 511,Alavanca do trambulador (câmbio) (PEQUENA) Fiat 147/Europa Panorama/Oggi até 83 (4 marchas),5
ALAVANCA,10748B,,Alavanca do trambulador (câmbio) Tempra todos,5
ALAVANCA,11142,,Haste do freio de ACNAVALA Prêmio 87... Uno 85...,5
ALAVANCA,43240B,BE2E 7202,C Alavanca do câmbio Belina II 81... Corcel II 80... Del Rey 81... Pampa 82/83 04,5
ALAVANCA,10981,7 608 610,Alavanca do trambulador (câmbio) Elba/Fiorino Prêmio/Uno 85/87 (5 marchas),5
ALAVANCA,10081B,7 507 393,Alavanca do trambulador (câmbio) Fiat 147/Europa Panorama/Oggi (5 marchas),5
ALAVANCA,10748C,,Alavanca do trambulador (câmbio) Tempra 96... FORD mão,5
ALAVANCA,43240C,,83PU 7202 C Alavanca do câmbio Belina II 81... Corcel II 80... Del Rey 81... Pampa 84/95,5
ALAVANCA,10981A,7 685 176,Alavanca do trambulador (câmbio) Elba/Prêmio Uno 87/91 Mille 91... Fiorino 88/91,5
ALAVANCA,10081D,,Alavanca do trambulador (câmbio) Fiat 147/Europa Panorama/Oggi 84... 76/80 (4 marchas),5
ALAVANCA,10981B,,Alavanca do trambulador (câmbio) Uno todos,5
ALAVANCA,43238,BD1M 7202,B Alavanca do câmbio Belina I/Corcel até 77,5
ALAVANCA,43240D,BE2M 7202,A Alavanca do câmbio Del Rey Pampa,5
ALAVANCA,10014,5 954 106,Alavanca acionadora trambulador Fiat 147 Todos Europa Panorama Oggi Todos até,5
ALAVANCA,10081F,,Alavanca do trambulador (câmbio) Fiat 147 Europa Panorama Oggi 81/83 Spazio 81/83 (4 marchas),5
ALAVANCA,10981C,,Alavanca do trambulador (câmbio) Uno 97...,5
ALAVANCA,43238A,BD8M 7202,A Alavanca do câmbio I Belina I 78/80 Corcel 78/80,5
ALAVANCA,43426,,83WT 7K 378 A Alavanca do câmbio Escort até 86,5
